"Date","bouncesPerVisit"
"May 2025","57.72%"
"Jun 2025","50.62%"
"Jul 2025","50.85%"
"Aug 2025","50.21%"
"Sep 2025","48.63%"
"Oct 2025","50.03%"
"Nov 2025","43.38%"
