"Date","avgVisitDuration"
"May 2025","11:53"
"Jun 2025","14:41"
"Jul 2025","12:40"
"Aug 2025","12:17"
"Sep 2025","10:58"
"Oct 2025","12:27"
"Nov 2025","09:49"
