"Country","Traffic Share","All devices","Desktop Share","Mobile Share"
"United States","37.62%","199,921","95.86%","4.14%"
"India","12.76%","67,820","58.98%","41.02%"
"Taiwan","7.09%","37,705","89.88%","10.12%"
"China","6.43%","34,197","100%","0%"
"Japan","4%","21,255","100%","0%"
