"Country","Traffic Share","All devices","Desktop Share","Mobile Share"
"United States","31.95%","80,198","89.68%","10.32%"
"India","18.1%","45,433","46.59%","53.41%"
"China","5.72%","14,347","100%","0%"
"Taiwan","5.67%","14,229","73.19%","26.81%"
"Germany","4.52%","11,339","43.37%","56.63%"
