"Date","purchasesPerVisit"
"May 2025","0.02%"
"Jun 2025","n/a"
"Jul 2025","0.01%"
"Aug 2025","0.91%"
"Sep 2025","0.74%"
"Oct 2025","0.02%"
"Nov 2025","n/a"
